channel,time_units,distribution,ci_hi,ci_lo,mean,is_int_time_unit
display,0.0,posterior,1.0,1.0,1.0,True
display,0.0,prior,1.0,1.0,1.0,True
display,0.2,posterior,0.9456555081406238,0.45138190417733287,0.7220228420173127,False
display,0.2,prior,0.9896680456223568,0.5204894395151515,0.8350473993269041,False
display,0.4,posterior,0.8942643401064194,0.20374563167056023,0.5438749648456501,False
display,0.4,prior,0.9794428420962638,0.2709095436170268,0.7192237976496832,False
display,0.6000000000000001,posterior,0.8456659990115821,0.09196709863760673,0.42349278816253205,False
display,0.6000000000000001,prior,0.9693232864446014,0.1410058546116598,0.6325703102342597,False
display,0.8,posterior,0.799708710092275,0.041512289144324775,0.33873318244876355,False
display,0.8,prior,0.959308287086655,0.07339229047408753,0.5650278035941326,False
display,1.0,posterior,0.7562489467073225,0.018737899152521508,0.27703622525671084,True
display,1.0,prior,0.9493967637203596,0.03820007296222679,0.5107756585562183,True
display,1.2000000000000002,posterior,0.7151509820981585,0.00845795030965995,0.23086545375315298,False
display,1.2000000000000002,prior,0.9395876472057636,0.019882838980779593,0.4661727226596678,False
display,1.4000000000000001,posterior,0.6762864655081532,0.003817766642014964,0.1954922134833548,False
display,1.4000000000000001,prior,0.9298798794496955,0.010348872795403521,0.4288135295224877,False
display,1.6,posterior,0.6395340213375192,0.0017232712639143873,0.1678381533474223,False
display,1.6,prior,0.9202724132916227,0.005386518435295412,0.3970401487729921,False
display,1.8,posterior,0.6047788700819443,0.0007778537158155024,0.14583559023253653,False
display,1.8,prior,0.9107642123906894,0.0028036493690985426,0.3696700060084903,False
display,2.0,posterior,0.5719124698711202,0.00035110921897240125,0.1280576293965801,True
display,2.0,prior,0.901354251113922,0.0014592835662070533,0.34583537774003603,True
display,2.2,posterior,0.5408321774876803,0.00015848441178138104,0.11349598967633276,False
display,2.2,prior,0.892041514425589,0.0007595495787640956,0.3248843055521281,False
display,2.4000000000000004,posterior,0.5114409278078912,7.153702731030158e-05,0.10142312389502635,False
display,2.4000000000000004,prior,0.8828249977777054,0.0003953420442215535,0.30631700775883874,False
display,2.6,posterior,0.48364693066297754,3.2290535228344444e-05,0.09130417651015543,False
display,2.6,prior,0.873703707001667,0.0002057739142499574,0.2897436918251427,False
display,2.8000000000000003,posterior,0.45736338417436573,1.4575370914138371e-05,0.08273932638958845,False
display,2.8000000000000003,prior,0.8646766582010056,0.00010710458706714939,0.2748557514679594,False
display,3.0,posterior,0.43250820366757803,6.579062387595933e-06,0.0754251652387611,True
display,3.0,prior,0.8557428776452513,5.5747610707829834e-05,0.26140560846194255,True
display,3.2,posterior,0.4090037653181642,2.969671501849652e-06,0.06912829451868611,False
display,3.2,prior,0.8469014016648924,2.9016490194214804e-05,0.24919229744138108,False
display,3.4000000000000004,posterior,0.38677666372906555,1.3404568405168096e-06,0.0636669386392288,False
display,3.4000000000000004,prior,0.8381512765474199,1.510302466694869e-05,0.23805096157485986,False
display,3.6,posterior,0.3657574826823146,6.050583749680874e-07,0.05889792302113946,False
display,3.6,prior,0.8294915584344473,7.861101677122388e-06,0.2278450700352678,False
display,3.8000000000000003,posterior,0.34588057834911706,2.7311259913199727e-07,0.05470730835308529,False
display,3.8000000000000003,prior,0.8209213132198913,4.091695657575919e-06,0.21846056641226003,False
display,4.0,posterior,0.32708387428127284,1.2327817920809404e-07,0.051003558427662056,True
display,4.0,prior,0.8124396164492069,2.1297256366167564e-06,0.20980141050675047,True
display,4.2,posterior,0.30930866754368447,5.564558399361438e-08,0.047712490783636,False
display,4.2,prior,0.8040455532196623,1.1085222597565504e-06,0.20178614097722347,False
display,4.4,posterior,0.29249944538249606,2.511743084800512e-08,0.04477349977273627,False
display,4.4,prior,0.7957382180816448,5.769864315328505e-07,0.19434519617868387,False
display,4.6000000000000005,posterior,0.2766037118563097,1.1337563778379681e-08,0.0421366997890537,False
display,4.6000000000000005,prior,0.7875167149409859,3.00322038245039e-07,0.18741880511369027,False
display,4.800000000000001,posterior,0.2615718238890405,5.117575850737322e-09,0.039760742084055396,False
display,4.800000000000001,prior,0.7793801569622958,1.5631808422862266e-07,0.18095531192564476,False
display,5.0,posterior,0.24735683623239646,2.309983356263046e-09,0.03761113028932218,True
display,5.0,prior,0.7713276664732979,8.136388209948056e-08,0.17490983350395442,True
display,5.2,posterior,0.2339143548537937,1.0426857312296543e-09,0.03565890909263135,False
display,5.2,prior,0.7633583748701497,4.2350107283231184e-08,0.1692431754874636,False
